seed,guide,true_fc,est_fc,bias,r_pearson,r_spearman
76,CA2,1.0,0.7693670768268381,-0.23063292317316186,0.5391648581620221,0.5497185741088181
77,NTC_1,0.0,-0.2417479973308767,-0.2417479973308767,0.27908830407989405,0.12030075187969923
77,KO1,-2.0,-2.142808578538152,-0.1428085785381521,0.13583368958002467,0.08442776735459663
77,KO2,-1.3219280948873622,-1.5292178612224783,-0.2072897663351161,0.4129439164704773,0.37242026266416517
77,KO3,-0.029146345659516508,-0.13277306370660913,-0.10362671804709261,0.2792184202684709,0.2538461538461539
77,CA1,0.5849625007211562,0.3041227836139475,-0.2808397171072087,0.47403964336329185,0.4707317073170732
77,CA2,1.0,0.8943213004596506,-0.10567869954034936,0.4338429721822849,0.3037523452157599
78,NTC_1,0.0,-0.7294212799541677,-0.7294212799541677,0.3002700498005286,0.21052631578947367
78,KO1,-2.0,-3.003601692246648,-1.0036016922466482,0.07595003463275561,0.07786116322701689
78,KO2,-1.3219280948873622,-2.036966465043279,-0.7150383701559169,0.20851283018696765,0.07429643527204503
78,KO3,-0.029146345659516508,-0.9049655418865408,-0.8758191962270243,0.12128762488052704,0.05478424015009382
78,CA1,0.5849625007211562,-0.1905681114666189,-0.7755306121877751,0.3243445360896231,0.30694183864915575
78,CA2,1.0,0.158109046889094,-0.841890953110906,0.18037246650508254,0.16378986866791745
79,NTC_1,0.0,-0.29726662449762475,-0.29726662449762475,0.45366149169038805,0.5112781954887218
79,KO1,-2.0,-2.1166702728740896,-0.1166702728740896,0.4156463723431151,0.34296435272045034
79,KO2,-1.3219280948873622,-1.4909392815105642,-0.16901118662320203,0.034103423383125754,0.03583489681050657
79,KO3,-0.029146345659516508,-0.33155264668390405,-0.30240630102438754,-0.07407580782709614,-0.09643527204502816
79,CA1,0.5849625007211562,0.45169911570623267,-0.13326338501492352,0.49420642472940246,0.4375234521575986
79,CA2,1.0,0.6880062598712717,-0.31199374012872827,0.5688970296786899,0.45984990619136973
80,NTC_1,0.0,-0.31170382313654077,-0.31170382313654077,-0.0903140982015024,-0.08571428571428572
80,KO1,-2.0,-2.3246995430462087,-0.32469954304620874,0.5266837445863652,0.5487804878048781
80,KO2,-1.3219280948873622,-1.5200907211773123,-0.19816262628995007,0.4087674236570841,0.3851782363977487
80,KO3,-0.029146345659516508,-0.25571551136896264,-0.22656916570944613,0.25395945608215087,0.24165103189493436
80,CA1,0.5849625007211562,0.5066627044208323,-0.07829979630032391,0.4572786874542243,0.43395872420262666
80,CA2,1.0,0.8425816077716624,-0.15741839222833764,0.044424375786650136,0.0776735459662289
81,NTC_1,0.0,-0.2824102859966482,-0.2824102859966482,0.626395733345315,0.6075187969924812
81,KO1,-2.0,-2.179734609650823,-0.179734609650823,0.42706984659983926,0.42851782363977486
81,KO2,-1.3219280948873622,-1.60845961384699,-0.2865315189596278,0.368786511670913,0.3994371482176361
81,KO3,-0.029146345659516508,-0.3597403984539236,-0.33059405279440707,0.3984614279914415,0.4493433395872421
81,CA1,0.5849625007211562,0.2259510535724436,-0.3590114471487126,0.3415573834524798,0.29699812382739216
81,CA2,1.0,0.5445621985919749,-0.45543780140802514,0.2597528561270087,0.26772983114446536
82,NTC_1,0.0,-0.07027592472955835,-0.07027592472955835,0.6846523469041152,0.6466165413533834
82,KO1,-2.0,-1.98517122082636,0.014828779173639894,0.3946016923247656,0.38255159474671674
82,KO2,-1.3219280948873622,-1.468372009324285,-0.14644391443692273,0.34924191500157986,0.301125703564728
82,KO3,-0.029146345659516508,-0.11086907200739038,-0.08172272634787386,0.10073577820157306,0.08292682926829269
82,CA1,0.5849625007211562,0.6455906409747874,0.06062814025363117,0.47888572353417747,0.4470919324577862
